Name,ExternalId,Test Type,Date,Time,BW [KG],Reps,Tags,Additional Load [lb],Jump Height (Imp-Mom) in Inches [in] ,RSI-modified (Imp-Mom) [m/s] ,Eccentric Peak Force [N] ,Eccentric Peak Power / BM [W/kg] ,Eccentric Duration [ms] ,Concentric Peak Force [N] ,Concentric Peak Force / BM [N/kg] ,Concentric Duration [ms] 
2,,CMJ,01/25/2024,3:18 PM,67.51,3,,0,8.8,0.27,1337,16.5,511,1328,19.7,329
9,,CMJ,01/25/2024,3:17 PM,65.02,3,,0,9.3,0.23,1303,15.8,684,1295,19.9,348
6,,CMJ,01/25/2024,3:16 PM,58.42,3,,0,15.6,0.58,1496,27.8,427,1473,25.2,260
4,,CMJ,01/25/2024,3:16 PM,61.62,3,,0,14.1,0.39,1320,11.9,644,1387,22.5,282
21,,CMJ,01/25/2024,3:15 PM,57.38,3,,0,11.7,0.52,1470,22.7,356,1473,25.7,217
22,,CMJ,01/25/2024,3:15 PM,86.65,3,,0,17.3,0.54,2194,21.5,539,2195,25.3,285
30,,CMJ,01/25/2024,3:14 PM,86.7,3,,0,15.4,0.47,2025,17.6,543,2025,23.4,293
18,,CMJ,01/25/2024,3:14 PM,91.07,3,,0,16.8,0.61,2113,25.1,433,2174,23.9,271
16,,CMJ,01/25/2024,3:13 PM,88.75,3,,0,19.1,0.68,2456,26.2,464,2451,27.6,247
7,,CMJ,01/25/2024,3:13 PM,58.29,3,,0,10.7,0.38,1353,16.0,459,1353,23.2,267
15,,CMJ,01/25/2024,3:12 PM,58.64,3,,0,16.0,0.58,1551,23.0,457,1546,26.4,252
23,,CMJ,01/25/2024,3:04 PM,77.69,3,,0,17.5,0.63,2073,25.1,449,2072,26.7,257
26,,CMJ,01/25/2024,1:31 PM,75.26,3,,0,11.0,0.33,1667,24.2,499,1632,21.7,351
14,,CMJ,01/25/2024,1:31 PM,60.49,3,,0,6.7,0.21,999,9.4,510,1219,20.2,290
32,,CMJ,01/25/2024,1:30 PM,84.73,3,,0,16.2,0.55,2171,21.6,500,2168,25.6,258
12,,CMJ,01/25/2024,1:30 PM,85.61,3,,0,17.8,0.63,2201,22.0,473,2209,25.8,248
33,,CMJ,01/25/2024,1:29 PM,92.13,3,,0,14.5,0.54,2338,24.9,429,2329,25.3,253
10,,CMJ,01/25/2024,1:26 PM,57.24,3,,0,11.0,0.36,1193,21.9,451,1185,20.7,328
34,,CMJ,01/25/2024,1:25 PM,70.99,3,,0,11.3,0.38,1497,15.5,481,1528,21.5,277
1,,CMJ,01/25/2024,1:24 PM,74.61,3,,0,11.4,0.41,1985,25.2,434,1927,25.8,269
29,,CMJ,01/25/2024,1:23 PM,92.37,3,,0,19.8,0.69,2535,22.8,470,2526,27.3,261
24,,CMJ,01/25/2024,1:22 PM,77.19,3,,0,10.7,0.35,1585,16.0,494,1636,21.2,287
36,,CMJ,01/25/2024,1:22 PM,92.17,3,,0,21.2,0.64,2282,22.6,557,2343,25.4,292
28,,CMJ,01/25/2024,1:21 PM,62.63,3,,0,10.8,0.41,1598,25.3,401,1570,25.1,265
13,,CMJ,01/25/2024,1:20 PM,62.82,3,,0,10.7,0.32,1327,18.0,511,1320,21.0,338
8,,CMJ,01/25/2024,1:20 PM,69.31,3,,0,14.1,0.45,1657,19.3,527,1659,23.9,274
3,,CMJ,01/25/2024,1:19 PM,64.49,3,,0,13.3,0.48,1635,29.7,438,1587,24.6,274
27,,CMJ,01/25/2024,1:18 PM,78.25,3,,0,6.8,0.24,1758,27.0,460,1650,21.1,265
11,,CMJ,01/25/2024,1:17 PM,95.72,3,,0,18.0,0.56,2417,22.2,539,2418,25.3,289
17,,CMJ,01/16/2024,3:26 PM,66.98,3,,0,11.7,0.35,1431,20.2,515,1425,21.3,342
2,,CMJ,01/16/2024,3:25 PM,68.17,3,,0,8.6,0.24,1284,14.2,572,1303,19.1,356
4,,CMJ,01/16/2024,3:23 PM,61.93,3,,0,13.7,0.36,1311,12.1,694,1366,22.1,282
30,,CMJ,01/16/2024,3:20 PM,86.94,3,,0,14.9,0.44,2001,16.3,573,2051,23.6,291
22,,CMJ,01/16/2024,3:19 PM,86.55,3,,0,16.9,0.51,2149,19.1,558,2150,24.8,281
21,,CMJ,01/16/2024,3:18 PM,56.7,3,,0,11.2,0.44,1287,18.3,413,1299,22.9,242
7,,CMJ,01/16/2024,3:17 PM,59.56,3,,0,9.0,0.31,1301,18.3,459,1300,21.8,294
6,,CMJ,01/16/2024,3:16 PM,59.1,3,,0,15.2,0.54,1514,24.4,450,1512,25.6,259
9,,CMJ,01/16/2024,3:15 PM,64.72,3,,0,9.0,0.27,1288,17.9,505,1278,19.7,340
31,,CMJ,01/16/2024,3:14 PM,49.64,3,,0,10.8,0.37,1122,19.1,461,1106,22.3,276
18,,CMJ,01/16/2024,3:13 PM,91.27,3,,0,16.3,0.56,2110,25.0,456,2111,23.1,292
15,,CMJ,01/16/2024,3:12 PM,58.1,3,,0,14.9,0.6,1609,25.5,403,1602,27.6,234
23,,CMJ,01/16/2024,3:11 PM,77.46,3,,0,16.9,0.62,2089,23.2,451,2091,27.0,244
16,,CMJ,01/16/2024,3:11 PM,87.04,3,,0,19.5,0.67,2402,27.0,481,2389,27.5,258
19,,CMJ,01/16/2024,3:09 PM,78.57,3,,0,13.9,0.5,1839,25.1,418,1824,23.2,287
34,,CMJ,01/16/2024,1:52 PM,71.63,3,,0,11.4,0.37,1434,13.5,511,1590,22.2,273
12,,CMJ,01/16/2024,1:29 PM,86.32,3,,0,17.4,0.64,2122,22.4,445,2173,25.2,244
14,,CMJ,01/16/2024,1:28 PM,60.96,3,,0,7.1,0.25,1144,11.6,448,1262,20.7,283
35,,CMJ,01/16/2024,1:26 PM,68.63,3,,0,14.1,0.44,1624,17.3,529,1625,23.7,288
24,,CMJ,01/16/2024,1:22 PM,76.46,3,,0,10.5,0.33,1512,15.3,506,1596,20.9,299
29,,CMJ,01/16/2024,1:21 PM,91.54,3,,0,18.5,0.67,2510,24.2,468,2494,27.2,239
11,,CMJ,01/16/2024,1:21 PM,93.84,3,,0,18.1,0.64,2450,26.8,453,2405,25.6,270
